minute,webe_count,actigraph_SW,model_pred_SW
2026-05-16 22:00:00,630364.2919240353,S,W
2026-05-16 22:01:00,2989463.914330616,S,W
2026-05-16 22:02:00,3935712.2311218833,S,W
2026-05-16 22:03:00,1095339.8785395697,S,W
2026-05-16 22:04:00,4400674.876614906,S,W
2026-05-16 22:05:00,1163947.3500283684,S,W
2026-05-16 22:07:00,3765842.448076237,W,W
2026-05-16 22:08:00,906321.1035960942,W,W
2026-05-16 22:09:00,822483.2367607388,W,W
2026-05-16 22:10:00,1467938.3115712786,W,W
2026-05-16 22:11:00,2353879.830000498,W,W
2026-05-16 22:12:00,89662.81546519736,W,W
2026-05-16 22:13:00,82936.69955639332,W,W
2026-05-16 22:14:00,106666.03267520852,W,W
2026-05-16 22:15:00,15948.474341258428,W,W
2026-05-16 22:16:00,35382.44568256374,S,W
2026-05-16 22:17:00,21109.128385752963,S,W
2026-05-16 22:18:00,49561.38247397776,S,W
2026-05-16 22:19:00,15116.988268672088,S,W
2026-05-16 22:20:00,828106.0726093934,W,W
2026-05-16 22:21:00,477763.9341939463,W,W
2026-05-16 22:22:00,185544.5921201682,W,W
2026-05-16 22:23:00,6655286.192598937,W,W
2026-05-16 22:24:00,12266580.69155294,W,W
2026-05-16 22:25:00,10376762.930189371,W,W
2026-05-16 22:26:00,4438709.926616919,W,W
2026-05-16 22:27:00,8238.784699584023,W,S
2026-05-16 22:28:00,9016713.456882622,W,W
2026-05-16 22:29:00,820394.8141471356,W,W
2026-05-16 22:30:00,8764530.270423716,W,W
2026-05-16 22:31:00,8623786.162541987,W,W
2026-05-16 22:32:00,4671129.571924986,W,W
2026-05-16 22:33:00,2125681.068969342,W,W
2026-05-16 22:34:00,5327152.867973617,W,W
2026-05-16 22:35:00,4922146.725641822,W,W
2026-05-16 22:36:00,4558605.922693246,W,W
2026-05-16 22:37:00,1828503.83014852,W,W
2026-05-16 22:38:00,6166363.849414722,W,W
2026-05-16 22:39:00,7649106.009475168,W,W
2026-05-16 22:40:00,215697.1998522301,W,W
2026-05-16 22:41:00,1743381.2287428754,W,W
2026-05-16 22:42:00,576210.9895890562,W,W
2026-05-16 22:43:00,686984.7208359445,W,W
2026-05-16 22:44:00,1745221.4357215364,W,W
2026-05-16 22:45:00,1438526.4102017074,W,W
2026-05-16 22:46:00,3960022.111911939,W,W
2026-05-16 22:47:00,1437319.451037743,W,W
2026-05-16 22:48:00,3797.0567069089593,W,S
2026-05-16 22:49:00,3938.172977677968,W,S
2026-05-16 22:50:00,1740911.1844373285,W,W
2026-05-16 22:51:00,131532.39239677103,S,W
2026-05-16 22:52:00,260509.2098765655,S,W
2026-05-16 22:53:00,930069.6868442064,S,W
2026-05-16 22:54:00,1428.882953927634,S,S
2026-05-16 22:55:00,2037.014397851657,S,S
2026-05-16 22:56:00,1344.0307389608788,S,S
2026-05-16 22:57:00,2122.6187601606944,S,S
2026-05-16 22:58:00,453078.63151218113,S,W
2026-05-16 22:59:00,3311.5757580415084,S,S
2026-05-16 23:00:00,1520459.7158373797,S,W
2026-05-16 23:01:00,5060.661592138276,S,S
2026-05-16 23:02:00,3632.88455416236,W,S
2026-05-16 23:03:00,141579.17936856608,W,W
2026-05-16 23:04:00,6695584.39714512,W,W
2026-05-16 23:05:00,4909795.46196708,W,W
2026-05-16 23:06:00,923959.1602428271,W,W
2026-05-16 23:07:00,731389.9728406185,W,W
2026-05-16 23:08:00,2721.814347326537,W,S
2026-05-16 23:09:00,2755.295214932339,W,S
2026-05-16 23:10:00,2752.4559597714906,S,S
2026-05-16 23:11:00,2674.5325678103545,S,S
2026-05-16 23:12:00,167393.66199829415,S,W
2026-05-16 23:13:00,167386.72528802522,S,W
2026-05-16 23:14:00,57586.407771342405,S,W
2026-05-16 23:15:00,278155.36221854767,S,W
2026-05-16 23:16:00,58425.10357797765,S,W
2026-05-16 23:17:00,3245.448714405044,S,S
2026-05-16 23:18:00,3155.0398598660395,S,S
2026-05-16 23:19:00,2516.9771748736603,S,S
2026-05-16 23:20:00,58748.31508011832,S,W
2026-05-16 23:21:00,57394.28350841509,S,W
2026-05-16 23:22:00,2328.3634870020323,S,S
2026-05-16 23:23:00,2514.3778752129947,S,S
2026-05-16 23:24:00,2388.17698684724,S,S
2026-05-16 23:25:00,815696.3622477694,S,W
2026-05-16 23:26:00,1690.696161896165,S,S
2026-05-16 23:27:00,1513.490992877123,S,S
2026-05-16 23:28:00,58405.89248778565,S,W
2026-05-16 23:29:00,1974.4769698654852,S,S
2026-05-16 23:30:00,58101.69496116864,S,W
2026-05-16 23:31:00,2288.109924634104,S,S
2026-05-16 23:32:00,3311.280688254599,S,S
2026-05-16 23:33:00,2485.7586550292035,S,S
2026-05-16 23:34:00,3160.9396438724507,S,S
2026-05-16 23:35:00,3748.0194751544914,S,S
2026-05-16 23:36:00,58025.606595104575,S,W
2026-05-16 23:37:00,2401.838774823773,S,S
2026-05-16 23:38:00,2700.9835869973613,S,S
